Id,TimeStamp,DateTime,State,Pm,Dc,PmMigrTo,DcMigrTo,ShortDowntime,Downtime,CummViol,CummViolRate,OverallViol,OverallViolRate,CpuSpecs,RamSpecs,BwSpecs,SizeSpecs,CpuProv,RamProv,BwProv,SizeProv,CpuReq,RamReq,BwReq,SizeReq,RuntimeProv,RuntimeReq
1,3600000,1970-01-01 01:00:00,Running,1,1,NA,NA,true,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,557,746,52,13135,557,746,52,13135,3300000,3600000
2,3600000,1970-01-01 01:00:00,Running,1,1,NA,NA,true,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,557,746,52,13135,557,746,52,13135,3300000,3600000
1,7200000,1970-01-01 02:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,608,807,47,13162,608,807,47,13162,6900000,7200000
2,7200000,1970-01-01 02:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,604,874,45,13162,604,874,45,13162,6900000,7200000
1,10800000,1970-01-01 03:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,667,897,53,13189,667,897,53,13189,10500000,10800000
2,10800000,1970-01-01 03:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,718,931,49,13189,718,931,49,13189,10500000,10800000
1,14400000,1970-01-01 04:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,735,1023,47,13216,735,1023,47,13216,14100000,14400000
2,14400000,1970-01-01 04:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,730,987,53,13216,730,987,53,13216,14100000,14400000
1,18000000,1970-01-01 05:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,810,1024,47,13244,810,1024,47,13244,17700000,18000000
2,18000000,1970-01-01 05:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,764,1076,49,13244,764,1076,49,13244,17700000,18000000
1,21600000,1970-01-01 06:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,791,1032,48,13271,791,1032,48,13271,21300000,21600000
2,21600000,1970-01-01 06:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,783,1022,47,13271,783,1022,47,13271,21300000,21600000
1,25200000,1970-01-01 07:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,813,1071,49,13298,813,1071,49,13298,24900000,25200000
2,25200000,1970-01-01 07:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,784,1042,50,13298,784,1042,50,13298,24900000,25200000
1,28800000,1970-01-01 08:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,768,970,50,13326,768,970,50,13326,28500000,28800000
2,28800000,1970-01-01 08:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,755,1011,47,13326,755,1011,47,13326,28500000,28800000
1,32400000,1970-01-01 09:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,683,919,46,13353,683,919,46,13353,32100000,32400000
2,32400000,1970-01-01 09:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,667,947,51,13353,667,947,51,13353,32100000,32400000
1,36000000,1970-01-01 10:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,654,872,55,13380,654,872,55,13380,35700000,36000000
2,36000000,1970-01-01 10:00:00,Running,1,1,NA,NA,false,false,300000,0.0833,300000,0.0114,1000,1750,100,65536,659,860,53,13380,659,860,53,13380,35700000,36000000
