Id,TimeStamp,DateTime,Dc,State,EnergyConsumption,VmsCount,MigratedVmsCount,CpuSpecs,RamSpecs,BwSpecs,SizeSpecs,CpuProv,RamProv,BwProv,SizeProv,CpuReq,RamReq,BwReq,SizeReq
21,1357002000670,2012-12-31 23:00:00,5,Running,0.1427,3,0,3000,4096,1024,327680,1670,982,31,157286,1670,982,31,157286
22,1357002000670,2012-12-31 23:00:00,5,Running,0.1427,3,0,3000,4096,1024,327680,1671,985,31,157286,1671,985,31,157286
23,1357002000670,2012-12-31 23:00:00,5,Running,0.1427,3,0,3000,4096,1024,327680,1671,977,32,157286,1671,977,32,157286
24,1357002000670,2012-12-31 23:00:00,5,Running,0.1427,3,0,3000,4096,1024,327680,1670,983,31,157286,1670,983,31,157286
25,1357002000670,2012-12-31 23:00:00,5,Running,0.1427,3,0,3000,4096,1024,327680,1671,982,31,157286,1671,982,31,157286
16,1357002000670,2012-12-31 20:00:00,4,Running,0.1427,3,0,3000,4096,1024,327680,1671,978,31,157286,1671,978,31,157286
17,1357002000670,2012-12-31 20:00:00,4,Running,0.1426,3,0,3000,4096,1024,327680,1669,983,31,157286,1669,983,31,157286
18,1357002000670,2012-12-31 20:00:00,4,Running,0.1427,3,0,3000,4096,1024,327680,1671,982,32,157286,1671,982,32,157286
19,1357002000670,2012-12-31 20:00:00,4,Running,0.1171,1,0,3000,4096,1024,327680,557,326,11,52429,557,326,11,52429
20,1357002000670,2012-12-31 20:00:00,4,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
11,1357002000670,2013-01-01 02:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
12,1357002000670,2013-01-01 02:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
13,1357002000670,2013-01-01 02:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
14,1357002000670,2013-01-01 02:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
15,1357002000670,2013-01-01 02:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
6,1357002000670,2013-01-01 02:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
7,1357002000670,2013-01-01 02:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
8,1357002000670,2013-01-01 02:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
9,1357002000670,2013-01-01 02:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
10,1357002000670,2013-01-01 02:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
1,1357002000670,2013-01-01 10:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
2,1357002000670,2013-01-01 10:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
3,1357002000670,2013-01-01 10:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
4,1357002000670,2013-01-01 10:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
5,1357002000670,2013-01-01 10:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
21,1357005600670,2013-01-01 00:00:00,5,Running,0.1474,3,0,3000,4096,1024,327680,1820,1065,29,157286,1820,1065,29,157286
22,1357005600670,2013-01-01 00:00:00,5,Running,0.1483,3,0,3000,4096,1024,327680,1866,1082,31,157286,1866,1082,31,157286
